Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
2020-04-30,207.60205078125,227.52969360351562,206.43692016601562,216.9091339111328,28089191904
2020-05-31,230.9757080078125,244.04525756835938,230.05282592773438,242.35137939453125,12234904813
2020-06-30,226.31500244140625,229.476806640625,224.815185546875,227.9684295654297,6094093001
2020-07-31,345.5546569824219,348.6113586425781,329.3409423828125,334.63372802734375,12030600492
2020-08-31,435.0797424316406,438.5603332519531,419.7701721191406,428.5090026855469,12774741797
2020-09-30,359.9378662109375,361.17877197265625,353.32794189453125,360.03851318359375,11818610610
2020-10-31,386.59033203125,393.0101318359375,381.2952575683594,382.8200378417969,11276963426
2020-11-30,614.842529296875,615.2405395507812,571.5377807617188,575.757080078125,20276867833
2020-12-31,737.8034057617188,754.2994384765625,726.5119018554688,751.6266479492188,13926846861
2021-01-31,1314.9862060546875,1378.916015625,1288.5015869140625,1376.8236083984375,25198853581
2021-02-28,1416.0489501953125,1468.3914794921875,1300.47216796875,1459.8604736328125,27637026080
2021-03-31,1918.362060546875,1947.8377685546875,1793.002197265625,1846.0982666015625,30226902621
2021-04-30,2773.20703125,2796.054931640625,2728.169921875,2757.734130859375,29777179889
2021-05-31,2714.9453125,2715.85498046875,2279.505126953125,2387.198486328125,31007383150
2021-06-30,2274.547607421875,2282.989013671875,2090.7607421875,2164.21630859375,25828056268
2021-07-31,2536.2099609375,2551.1611328125,2423.816162109375,2461.57568359375,18001710283
2021-08-31,3433.732666015625,3466.9921875,3195.216552734375,3227.758056640625,27280502987
2021-09-30,3001.678955078125,3046.51953125,2840.28955078125,2852.558837890625,17661065099
2021-10-31,4288.07421875,4394.44970703125,4179.01611328125,4322.744140625,17498160238
2021-11-30,4631.47900390625,4753.26611328125,4358.07421875,4447.76806640625,28626354111
2021-12-31,3682.6328125,3807.288818359375,3636.869873046875,3713.43017578125,14157285268
2022-01-31,2688.27880859375,2697.7353515625,2489.072265625,2603.263427734375,13778234614
2022-02-28,2919.201171875,2929.180419921875,2586.38818359375,2621.172119140625,19266124733
2022-03-31,3281.642822265625,3435.12841796875,3272.9345703125,3385.289306640625,17685495686
2022-04-30,2730.186767578125,2836.82763671875,2727.40625,2815.533447265625,13520941867
2022-05-31,1942.3280029296875,2005.490966796875,1932.35205078125,1996.4080810546875,18363115560
2022-06-30,1067.298828125,1103.6904296875,1009.0948486328125,1099.3531494140625,16350755497
2022-07-31,1681.517333984375,1745.8831787109375,1672.61279296875,1695.884765625,14200735370
2022-08-31,1553.6849365234375,1612.35888671875,1524.2864990234375,1524.2864990234375,20591680941
2022-09-30,1327.9786376953125,1368.743408203125,1320.3831787109375,1335.646484375,14250100093
2022-10-31,1572.7144775390625,1630.452880859375,1555.9189453125,1590.4813232421875,19306919714
2022-11-30,1295.6885986328125,1302.0386962890625,1215.4979248046875,1216.9287109375,9836925304
2022-12-31,1196.771240234375,1205.088623046875,1194.2037353515625,1199.360107421875,3018513333
2023-01-31,1586.535400390625,1598.517578125,1563.8043212890625,1567.419921875,6585191019
2023-02-28,1605.8951416015625,1644.435791015625,1602.4281005859375,1634.50244140625,6323676957
2023-03-31,1822.0220947265625,1844.6773681640625,1783.1422119140625,1793.6201171875,9149379763
2023-04-30,1876.92431640625,1938.41796875,1876.92431640625,1908.7413330078125,6539641957
2023-05-31,1874.1304931640625,1907.035400390625,1852.0947265625,1901.0982666015625,5984512548
2023-06-30,1933.18896484375,1945.2742919921875,1831.281005859375,1852.0084228515625,12895131248
2023-07-31,1856.162353515625,1875.62939453125,1851.9154052734375,1861.7552490234375,4391613314
2023-08-31,1645.63916015625,1720.011962890625,1634.8509521484375,1705.364501953125,6593153505
2023-09-30,1671.161865234375,1692.5311279296875,1666.5638427734375,1667.83447265625,3155292192
2023-10-31,1816.458984375,1819.97265625,1784.567626953125,1810.131591796875,6477922747
2023-11-30,2052.55615234375,2054.4443359375,2022.4617919921875,2029.3583984375,8107789163
2023-12-31,2281.47119140625,2318.512939453125,2261.394287109375,2291.9453125,6871481744
2024-01-31,2282.54443359375,2349.611328125,2264.443603515625,2343.558837890625,10807883277
2024-02-29,3341.919677734375,3518.96923828125,3303.9052734375,3386.802734375,28469171094
2024-03-31,3647.8564453125,3655.218994140625,3507.24267578125,3507.95166015625,10499881424
2024-04-30,3012.286865234375,3249.37841796875,2918.228759765625,3215.381103515625,18266894653
2024-05-31,3760.026611328125,3843.857666015625,3723.835205078125,3746.861572265625,15290700646
2024-06-30,3432.88916015625,3453.21142578125,3352.284423828125,3373.07568359375,8396416013
2024-07-31,3231.295654296875,3347.636474609375,3216.07177734375,3278.6865234375,16135380637
2024-08-31,2513.393798828125,2532.389892578125,2493.70556640625,2525.859130859375,6646876013
2024-09-30,2603.062744140625,2662.489013671875,2576.97607421875,2659.292724609375,17826446789
2024-10-31,2515.79931640625,2667.5595703125,2501.572265625,2657.213134765625,19760409505
2024-11-30,3705.705322265625,3739.934814453125,3572.254150390625,3593.59814453125,30670867436
2024-12-31,3332.53173828125,3444.396728515625,3311.41259765625,3356.394775390625,20845452085
2025-01-31,3298.26513671875,3437.569091796875,3214.935546875,3247.8671875,30128115902
2025-02-28,2237.9052734375,2310.94921875,2076.169921875,2305.56005859375,35737904667
2025-03-31,1823.47998046875,1852.5513916015625,1778.6922607421875,1806.3165283203125,15765030938
